"","Mh101","Mh102","Mh103","Mh104","Mh105","Mh106","Mh107","Mh108","Mh109","Mh110"
"245",0,86604,34381,0,0,0,0,0,0,0
"246",0,86604,34381,0,0,0,0,0,0,0
"247",0,86604,34381,0,0,0,0,0,0,0
"248",0,86604,34381,0,0,0,0,0,0,0
"249",0,0,0,0,0,8136,66730,96777,33602,2
"250",0,0,0,0,0,8136,66730,96777,33602,2
"251",0,0,0,0,0,8136,66730,96777,33602,2
"252",0,0,0,0,0,8136,66730,96777,33602,2
"253",0,30580,14335,0,0,0,0,0,0,0
"254",0,30580,14335,0,0,0,0,0,0,0
"255",0,30580,14335,0,0,0,0,0,0,0
"256",0,30580,14335,0,0,0,0,0,0,0
"257",0,0,0,0,0,348957,2438975,3461752,2696430,16
"258",0,0,0,0,0,348957,2438975,3461752,2696430,16
"259",0,0,0,0,0,348957,2438975,3461752,2696430,16
"260",0,0,0,0,0,348957,2438975,3461752,2696430,16
"261",0,1009216,353235,0,0,0,0,0,0,0
"262",0,1009216,353235,0,0,0,0,0,0,0
"263",0,1009216,353235,0,0,0,0,0,0,0
"264",0,1009216,353235,0,0,0,0,0,0,0
"265",0,0,0,0,0,490670,4442840,6335540,3221317,18
"266",0,0,0,0,0,490670,4442840,6335540,3221317,18
"267",0,0,0,0,0,490670,4442840,6335540,3221317,18
"268",0,0,0,0,0,490670,4442840,6335540,3221317,18
"269",0,1188592,410545,0,0,0,0,0,0,0
"270",0,1188592,410545,0,0,0,0,0,0,0
"271",0,1188592,410545,0,0,0,0,0,0,0
"272",0,1188592,410545,0,0,0,0,0,0,0
"273",119,7,10,2,10,5,2,3,2,0
"274",119,7,10,2,10,5,2,3,2,0
"275",119,7,10,2,10,5,2,3,2,0
"276",119,7,10,2,10,5,2,3,2,0
"277",0,0,0,0,68139,1360757,1155128,1064516,186879,618210
"278",0,0,0,0,68139,1360757,1155128,1064516,186879,618210
"279",0,0,0,0,68139,1360757,1155128,1064516,186879,618210
"280",0,0,0,0,68139,1360757,1155128,1064516,186879,618210
"281",0,0,0,0,68249,1443211,1093200,966552,261841,695837
"282",0,0,0,0,68249,1443211,1093200,966552,261841,695837
"283",0,0,0,0,68249,1443211,1093200,966552,261841,695837
"284",0,0,0,0,68249,1443211,1093200,966552,261841,695837
"285",17360280,3422458,4878124,880271,178,11704660,7293535,9385325,289,111
"286",17360280,3422458,4878124,880271,178,11704660,7293535,9385325,289,111
"287",17360280,3422458,4878124,880271,178,11704660,7293535,9385325,289,111
"288",17360280,3422458,4878124,880271,178,11704660,7293535,9385325,289,111
"289",1172727,5,1,0,0,0,0,0,0,0
"290",1172727,5,1,0,0,0,0,0,0,0
"291",1172727,5,1,0,0,0,0,0,0,0
"292",1172727,5,1,0,0,0,0,0,0,0
"293",2330001,16,4,0,0,0,0,0,0,0
"294",2330001,16,4,0,0,0,0,0,0,0
"295",2330001,16,4,0,0,0,0,0,0,0
"296",2330001,16,4,0,0,0,0,0,0,0
"297",2582305,10,0,0,0,0,0,0,1,0
"298",2582305,10,0,0,0,0,0,0,1,0
"299",2582305,10,0,0,0,0,0,0,1,0
"300",2582305,10,0,0,0,0,0,0,1,0
"301",0,1198998,1049605,431615,928489,604771,19,38,31,632109
"302",0,1198998,1049605,431615,928489,604771,19,38,31,632109
"303",0,1198998,1049605,431615,928489,604771,19,38,31,632109
"304",0,1198998,1049605,431615,928489,604771,19,38,31,632109
"305",0,1274151,555426,219301,855130,447635,4,28,28,475542
"306",0,1274151,555426,219301,855130,447635,4,28,28,475542
"307",0,1274151,555426,219301,855130,447635,4,28,28,475542
"308",0,1274151,555426,219301,855130,447635,4,28,28,475542
"309",0,918191,795769,337057,603456,389178,6,28,26,396092
"310",0,918191,795769,337057,603456,389178,6,28,26,396092
"311",0,918191,795769,337057,603456,389178,6,28,26,396092
"312",0,918191,795769,337057,603456,389178,6,28,26,396092
"313",0,680166,713425,390619,380262,611751,1,27,35,536957
"314",0,680166,713425,390619,380262,611751,1,27,35,536957
"315",0,680166,713425,390619,380262,611751,1,27,35,536957
"316",0,680166,713425,390619,380262,611751,1,27,35,536957
"317",0,484312,531637,236064,266015,491135,4,28,33,403504
"318",0,484312,531637,236064,266015,491135,4,28,33,403504
"319",0,484312,531637,236064,266015,491135,4,28,33,403504
"320",0,484312,531637,236064,266015,491135,4,28,33,403504
"321",0,154118,219823,84273,114796,202447,5,31,29,183596
"322",0,154118,219823,84273,114796,202447,5,31,29,183596
"323",0,154118,219823,84273,114796,202447,5,31,29,183596
"324",0,154118,219823,84273,114796,202447,5,31,29,183596
"325",276065,112913,87957,37621,11846,1,0,0,0,0
"326",276065,112913,87957,37621,11846,1,0,0,0,0
"327",276065,112913,87957,37621,11846,1,0,0,0,0
"328",276065,112913,87957,37621,11846,1,0,0,0,0
"329",2354303,788051,614269,262587,82823,1,0,0,0,0
"330",2354303,788051,614269,262587,82823,1,0,0,0,0
"331",2354303,788051,614269,262587,82823,1,0,0,0,0
"332",2354303,788051,614269,262587,82823,1,0,0,0,0
"333",2004670,787620,613814,262506,82756,1,0,0,0,0
"334",2004670,787620,613814,262506,82756,1,0,0,0,0
"335",2004670,787620,613814,262506,82756,1,0,0,0,0
"336",2004670,787620,613814,262506,82756,1,0,0,0,0
"337",179064,20,12,4,12,2,5,6,3,2
"338",179064,20,12,4,12,2,5,6,3,2
"339",179064,20,12,4,12,2,5,6,3,2
"340",179064,20,12,4,12,2,5,6,3,2
"341",299132,44,22,7,12,1,3,2,0,2
"342",299132,44,22,7,12,1,3,2,0,2
"343",299132,44,22,7,12,1,3,2,0,2
"344",299132,44,22,7,12,1,3,2,0,2
"345",0,0,0,0,190752,287756,200171,192938,118924,154083
"346",0,0,0,0,190752,287756,200171,192938,118924,154083
"347",0,0,0,0,190752,287756,200171,192938,118924,154083
"348",0,0,0,0,190752,287756,200171,192938,118924,154083
"349",0,0,0,0,16147,24286,20102,26651,16919,51906
"350",0,0,0,0,16147,24286,20102,26651,16919,51906
"351",0,0,0,0,16147,24286,20102,26651,16919,51906
"352",0,0,0,0,16147,24286,20102,26651,16919,51906
"353",0,0,0,0,199409,278350,199897,192403,119144,161271
"354",0,0,0,0,199409,278350,199897,192403,119144,161271
"355",0,0,0,0,199409,278350,199897,192403,119144,161271
"356",0,0,0,0,199409,278350,199897,192403,119144,161271
"357",0,0,0,0,16694,23368,20049,26715,16893,53802
"358",0,0,0,0,16694,23368,20049,26715,16893,53802
"359",0,0,0,0,16694,23368,20049,26715,16893,53802
"360",0,0,0,0,16694,23368,20049,26715,16893,53802
"361",354532,153,79,54,54,41,40,46,12,9
"362",354532,153,79,54,54,41,40,46,12,9
"363",354532,153,79,54,54,41,40,46,12,9
"364",354532,153,79,54,54,41,40,46,12,9
"365",1986264,550,283,88,111,83,59,57,32,28
"366",1986264,550,283,88,111,83,59,57,32,28
"367",1986264,550,283,88,111,83,59,57,32,28
"368",1986264,550,283,88,111,83,59,57,32,28
"369",0,0,0,0,76469,987519,850671,1129566,593227,482173
"370",0,0,0,0,76469,987519,850671,1129566,593227,482173
"371",0,0,0,0,76469,987519,850671,1129566,593227,482173
"372",0,0,0,0,76469,987519,850671,1129566,593227,482173
"373",0,0,0,0,77187,988519,848356,1128393,590828,479587
"374",0,0,0,0,77187,988519,848356,1128393,590828,479587
"375",0,0,0,0,77187,988519,848356,1128393,590828,479587
"376",0,0,0,0,77187,988519,848356,1128393,590828,479587
"377",7158147,2962366,2059619,1234349,311029,0,0,0,0,0
"378",7158147,2962366,2059619,1234349,311029,0,0,0,0,0
"379",7158147,2962366,2059619,1234349,311029,0,0,0,0,0
"380",7158147,2962366,2059619,1234349,311029,0,0,0,0,0
"381",697704,0,0,0,0,0,0,0,0,0
"382",697704,0,0,0,0,0,0,0,0,0
"383",697704,0,0,0,0,0,0,0,0,0
"384",697704,0,0,0,0,0,0,0,0,0
"385",78601,0,0,0,0,0,0,0,0,0
"386",78601,0,0,0,0,0,0,0,0,0
"387",78601,0,0,0,0,0,0,0,0,0
"388",78601,0,0,0,0,0,0,0,0,0
"389",313861,0,0,0,0,0,0,0,0,0
"390",313861,0,0,0,0,0,0,0,0,0
"391",313861,0,0,0,0,0,0,0,0,0
"392",313861,0,0,0,0,0,0,0,0,0
"393",937482,44,9,4,1,4,1,1,0,0
"394",937482,44,9,4,1,4,1,1,0,0
"395",937482,44,9,4,1,4,1,1,0,0
"396",937482,44,9,4,1,4,1,1,0,0
"397",958906,18,6,0,1,0,1,0,0,0
"398",958906,18,6,0,1,0,1,0,0,0
"399",958906,18,6,0,1,0,1,0,0,0
"400",958906,18,6,0,1,0,1,0,0,0
"401",2639630,1087597,1181743,9,729185,990313,893527,684887,0,0
"402",2639630,1087597,1181743,9,729185,990313,893527,684887,0,0
"403",2639630,1087597,1181743,9,729185,990313,893527,684887,0,0
"404",2639630,1087597,1181743,9,729185,990313,893527,684887,0,0
"405",3249452,1294148,1340509,908774,1018935,1443484,1194372,1478369,885503,829853
"406",3249452,1294148,1340509,908774,1018935,1443484,1194372,1478369,885503,829853
"407",3249452,1294148,1340509,908774,1018935,1443484,1194372,1478369,885503,829853
"408",3249452,1294148,1340509,908774,1018935,1443484,1194372,1478369,885503,829853
"409",42865,49020,37108,19200,34533,21435,23524,29047,1730,1
"410",42865,49020,37108,19200,34533,21435,23524,29047,1730,1
"411",42865,49020,37108,19200,34533,21435,23524,29047,1730,1
"412",42865,49020,37108,19200,34533,21435,23524,29047,1730,1
"413",340269,367151,343464,127505,266097,188293,168693,190128,12570,6
"414",340269,367151,343464,127505,266097,188293,168693,190128,12570,6
"415",340269,367151,343464,127505,266097,188293,168693,190128,12570,6
"416",340269,367151,343464,127505,266097,188293,168693,190128,12570,6
"417",168713,159698,114222,73973,199462,252031,220780,251159,17454,9
"418",168713,159698,114222,73973,199462,252031,220780,251159,17454,9
"419",168713,159698,114222,73973,199462,252031,220780,251159,17454,9
"420",168713,159698,114222,73973,199462,252031,220780,251159,17454,9
"421",0,0,0,0,0,0,0,0,0,172635
"422",0,0,0,0,0,0,0,0,0,172635
"423",0,0,0,0,0,0,0,0,0,172635
"424",0,0,0,0,0,0,0,0,0,172635
"425",0,0,0,0,0,0,0,0,0,562697
"426",0,0,0,0,0,0,0,0,0,562697
"427",0,0,0,0,0,0,0,0,0,562697
"428",0,0,0,0,0,0,0,0,0,562697
"429",0,0,0,0,0,0,0,0,0,441020
"430",0,0,0,0,0,0,0,0,0,441020
"431",0,0,0,0,0,0,0,0,0,441020
"432",0,0,0,0,0,0,0,0,0,441020
"433",0,0,0,0,0,6671,11559,16952,1774,3374
"434",0,0,0,0,0,6671,11559,16952,1774,3374
"435",0,0,0,0,0,6671,11559,16952,1774,3374
"436",0,0,0,0,0,6671,11559,16952,1774,3374
"437",0,0,0,0,0,27108,44306,59389,7063,11622
"438",0,0,0,0,0,27108,44306,59389,7063,11622
"439",0,0,0,0,0,27108,44306,59389,7063,11622
"440",0,0,0,0,0,27108,44306,59389,7063,11622
"441",0,0,0,0,0,17206,26466,37252,4108,8953
"442",0,0,0,0,0,17206,26466,37252,4108,8953
"443",0,0,0,0,0,17206,26466,37252,4108,8953
"444",0,0,0,0,0,17206,26466,37252,4108,8953
"445",0,0,0,0,0,51692,88694,200045,22628,15
"446",0,0,0,0,0,51692,88694,200045,22628,15
"447",0,0,0,0,0,51692,88694,200045,22628,15
"448",0,0,0,0,0,51692,88694,200045,22628,15
"449",0,0,0,0,0,178299,309804,659156,73818,27
"450",0,0,0,0,0,178299,309804,659156,73818,27
"451",0,0,0,0,0,178299,309804,659156,73818,27
"452",0,0,0,0,0,178299,309804,659156,73818,27
"453",0,0,0,0,0,120164,201434,415111,45226,19
"454",0,0,0,0,0,120164,201434,415111,45226,19
"455",0,0,0,0,0,120164,201434,415111,45226,19
"456",0,0,0,0,0,120164,201434,415111,45226,19
"457",0,0,0,0,0,48537,85344,138349,15862,14
"458",0,0,0,0,0,48537,85344,138349,15862,14
"459",0,0,0,0,0,48537,85344,138349,15862,14
"460",0,0,0,0,0,48537,85344,138349,15862,14
"461",0,0,0,0,0,164634,284112,428518,56683,17
"462",0,0,0,0,0,164634,284112,428518,56683,17
"463",0,0,0,0,0,164634,284112,428518,56683,17
"464",0,0,0,0,0,164634,284112,428518,56683,17
"465",0,0,0,0,0,108943,169433,246796,31392,14
"466",0,0,0,0,0,108943,169433,246796,31392,14
"467",0,0,0,0,0,108943,169433,246796,31392,14
"468",0,0,0,0,0,108943,169433,246796,31392,14
"469",6354792,2526932,2488343,1779316,2130907,1989188,1587993,2849278,1895196,1658901
"470",6354792,2526932,2488343,1779316,2130907,1989188,1587993,2849278,1895196,1658901
"471",6354792,2526932,2488343,1779316,2130907,1989188,1587993,2849278,1895196,1658901
"472",6354792,2526932,2488343,1779316,2130907,1989188,1587993,2849278,1895196,1658901
"473",15445828,6742095,7451116,5216974,6561067,6602391,4624707,7677794,4885449,3925419
"474",15445828,6742095,7451116,5216974,6561067,6602391,4624707,7677794,4885449,3925419
"475",15445828,6742095,7451116,5216974,6561067,6602391,4624707,7677794,4885449,3925419
"476",15445828,6742095,7451116,5216974,6561067,6602391,4624707,7677794,4885449,3925419
"477",15756066,7658993,6918411,5178325,6332916,5034026,3822401,7244431,4544760,3695677
"478",15756066,7658993,6918411,5178325,6332916,5034026,3822401,7244431,4544760,3695677
"479",15756066,7658993,6918411,5178325,6332916,5034026,3822401,7244431,4544760,3695677
"480",15756066,7658993,6918411,5178325,6332916,5034026,3822401,7244431,4544760,3695677
"481",623146,274676,252621,118355,333012,492907,342854,459187,225840,247008
"482",623146,274676,252621,118355,333012,492907,342854,459187,225840,247008
"483",623146,274676,252621,118355,333012,492907,342854,459187,225840,247008
"484",623146,274676,252621,118355,333012,492907,342854,459187,225840,247008
"485",59739,16495,14650,8914,49314,63542,41243,47374,42314,49547
"486",59739,16495,14650,8914,49314,63542,41243,47374,42314,49547
"487",59739,16495,14650,8914,49314,63542,41243,47374,42314,49547
"488",59739,16495,14650,8914,49314,63542,41243,47374,42314,49547
"489",45245,19215,9900,5802,43716,53752,26964,41050,25920,20719
"490",45245,19215,9900,5802,43716,53752,26964,41050,25920,20719
"491",45245,19215,9900,5802,43716,53752,26964,41050,25920,20719
"492",45245,19215,9900,5802,43716,53752,26964,41050,25920,20719
"493",686517,364411,411061,184341,393135,556576,387240,499193,246595,288463
"494",686517,364411,411061,184341,393135,556576,387240,499193,246595,288463
"495",686517,364411,411061,184341,393135,556576,387240,499193,246595,288463
"496",686517,364411,411061,184341,393135,556576,387240,499193,246595,288463
"497",65052,37583,34191,25088,74214,89702,65239,80315,38726,28431
"498",65052,37583,34191,25088,74214,89702,65239,80315,38726,28431
"499",65052,37583,34191,25088,74214,89702,65239,80315,38726,28431
"500",65052,37583,34191,25088,74214,89702,65239,80315,38726,28431
"501",95979,43984,17260,9121,61333,79343,55611,76161,38563,36523
"502",95979,43984,17260,9121,61333,79343,55611,76161,38563,36523
"503",95979,43984,17260,9121,61333,79343,55611,76161,38563,36523
"504",95979,43984,17260,9121,61333,79343,55611,76161,38563,36523
"505",1206008,667270,747436,370889,574882,793430,626024,871863,530381,468107
"506",1206008,667270,747436,370889,574882,793430,626024,871863,530381,468107
"507",1206008,667270,747436,370889,574882,793430,626024,871863,530381,468107
"508",1206008,667270,747436,370889,574882,793430,626024,871863,530381,468107
"509",105375,84375,90350,53340,102944,112727,91505,110760,75054,46115
"510",105375,84375,90350,53340,102944,112727,91505,110760,75054,46115
"511",105375,84375,90350,53340,102944,112727,91505,110760,75054,46115
"512",105375,84375,90350,53340,102944,112727,91505,110760,75054,46115
"513",143656,51193,19986,10856,57964,95183,72311,96340,64229,42790
"514",143656,51193,19986,10856,57964,95183,72311,96340,64229,42790
"515",143656,51193,19986,10856,57964,95183,72311,96340,64229,42790
"516",143656,51193,19986,10856,57964,95183,72311,96340,64229,42790
"517",559946,214588,192030,84634,276803,377736,271276,366655,195447,228036
"518",559946,214588,192030,84634,276803,377736,271276,366655,195447,228036
"519",559946,214588,192030,84634,276803,377736,271276,366655,195447,228036
"520",559946,214588,192030,84634,276803,377736,271276,366655,195447,228036
"521",61014,55623,43108,20487,75430,103265,68930,85134,50448,45251
"522",61014,55623,43108,20487,75430,103265,68930,85134,50448,45251
"523",61014,55623,43108,20487,75430,103265,68930,85134,50448,45251
"524",61014,55623,43108,20487,75430,103265,68930,85134,50448,45251
"525",55744,17316,13886,7937,60311,82387,42296,51045,24391,22367
"526",55744,17316,13886,7937,60311,82387,42296,51045,24391,22367
"527",55744,17316,13886,7937,60311,82387,42296,51045,24391,22367
"528",55744,17316,13886,7937,60311,82387,42296,51045,24391,22367
"529",2250200,1580219,1081105,195833,1082390,1205524,918555,1028058,674566,624542
"530",2250200,1580219,1081105,195833,1082390,1205524,918555,1028058,674566,624542
"531",2250200,1580219,1081105,195833,1082390,1205524,918555,1028058,674566,624542
"532",2250200,1580219,1081105,195833,1082390,1205524,918555,1028058,674566,624542
